date,Africa_C02,Asia/_Oceania_exc._China_C02,Central_and_South_America_C02,China_C02,Europe_C02,Middle_East_C02,North_America_C02,Russia_Turkey_other_Europe_C02,Africa_TWh,Asia/_Oceania_exc._China_TWh,Central_and_South_America_TWh,China_TWh,Europe_TWh,Middle_East_TWh,North_America_TWh,Russia_Turkey_other_Europe_TWh,Global_C02,Global_TWh
2018,131930000,442280000,257560000,406450000,548180000,174260000,1017010000,236590000,0.15,3.58,0.58,4.62,1.95,0.31,2.11,0.09,3214260000,13.39
2019,132400000,449880000,261300000,441340000,544120000,176720000,1011410000,237250000,0.17,5.05,0.84,5.64,2.63,0.42,2.66,0.14,3254420000,17.55
2020,132690000,456630000,264610000,474680000,539090000,178830000,1005410000,237480000,0.21,6.76,1.16,6.88,3.48,0.55,3.36,0.2,3289420000,22.6
2021,132800000,462440000,267090000,506120000,532980000,180540000,998880000,237220000,0.25,8.77,1.54,8.39,4.56,0.71,4.24,0.28,3318070000,28.74
2022,132700000,467300000,269080000,535600000,525890000,181740000,991520000,236430000,0.31,11.12,1.99,10.23,5.95,0.91,5.34,0.39,3340260000,36.24
2023,132400000,470930000,270620000,563090000,518280000,182430000,981840000,235050000,0.38,13.88,2.54,12.47,7.7,1.17,6.72,0.52,3354640000,45.38
2024,131880000,473890000,271630000,588470000,509930000,182890000,970790000,233060000,0.47,17.11,3.19,15.2,9.94,1.48,8.45,0.68,3362540000,56.52
2025,131130000,475980000,272170000,611190000,500910000,182860000,957400000,230410000,0.59,20.89,3.98,18.46,12.77,1.87,10.61,0.89,3362050000,70.06
2026,130110000,476670000,272010000,631070000,490750000,182420000,940450000,227270000,0.74,25.31,4.92,22.31,16.22,2.35,13.3,1.17,3350750000,86.32
2027,128910000,475940000,271240000,647580000,479290000,181630000,920690000,223540000,0.93,30.48,6.06,26.79,20.58,2.95,16.65,1.51,3328820000,105.95
2028,127520000,473890000,269820000,660720000,467000000,180510000,898150000,219380000,1.17,36.51,7.42,32.21,26.42,3.7,20.66,1.95,3296990000,130.04
2029,125910000,470260000,267810000,669790000,453150000,179070000,872750000,214810000,1.47,43.53,9.06,38.67,32.47,4.63,25.63,2.51,3253550000,157.97
2030,124090000,458390000,265290000,674470000,438110000,177220000,845440000,209780000,1.83,51.66,11.04,46.41,41.43,5.78,31.89,3.22,3192790000,193.26
2031,122040000,450320000,262230000,674110000,419740000,174820000,817090000,204730000,2.29,61.03,13.44,56.4,52.13,7.21,39.67,4.12,3125080000,236.29
2032,119710000,439300000,258350000,667580000,398710000,172030000,786450000,199470000,2.88,71.82,16.33,68.47,67.59,8.97,49.55,5.26,3041600000,290.87
2033,117110000,425750000,253520000,654750000,374770000,168930000,754010000,193990000,3.66,84.04,19.69,83.02,87.81,11.15,61.83,6.7,2942830000,357.9
2034,114200000,409520000,247780000,635640000,347210000,165190000,718930000,188240000,4.65,98.29,23.74,100.54,112.7,13.84,77.1,8.52,2826710000,439.38
2035,110770000,390410000,240950000,613770000,314790000,160720000,680670000,182140000,5.89,114.84,28.61,121.57,142.18,17.16,96.06,10.84,2694220000,537.15
2036,106980000,368130000,233050000,587620000,280040000,155440000,639470000,175490000,7.47,134.05,34.45,146.77,180.14,21.26,119.57,13.77,2546220000,657.48
2037,102800000,342380000,223780000,555730000,247680000,149160000,593870000,168190000,9.46,156.27,41.46,176.89,219.38,26.32,148.69,17.5,2383590000,795.97
2038,98150000,313070000,212740000,518250000,220390000,141410000,542940000,160050000,11.98,181.94,49.84,212.84,256.55,32.55,184.73,22.22,2207000000,952.65
2039,92930000,280500000,199800000,472970000,190860000,131990000,486590000,150870000,15.15,211.52,59.88,255.63,296.09,40.21,229.3,28.2,2006510000,1135.98
2040,86960000,237500000,183480000,412070000,146070000,120220000,418580000,140320000,19.16,245.53,71.88,306.45,335.79,49.64,284.34,35.77,1745200000,1348.56
2041,82150000,208370000,170620000,366620000,119010000,108260000,367470000,131670000,23,278,84,356,367,59,338,43,1554170000,1547.8
2042,77460000,180600000,157730000,321970000,92760000,96680000,318690000,123240000,27,310,95,403,401,68,391,51,1369130000,1746.16
2043,72890000,154250000,144850000,277930000,67510000,85500000,272310000,115030000,31,340,107,448,433,77,442,58,1190280000,1936.54
2044,68470000,129390000,132100000,234850000,43520000,74750000,228360000,107010000,35,369,118,490,460,86,491,66,1018450000,2115.52
2045,64210000,106110000,119520000,193280000,21000000,62660000,186890000,99240000,39,396,129,530,482,94,539,73,852910000,2282.24
2046,60110000,85000000,107230000,153360000,9690000,51190000,147980000,91790000,42,422,140,567,498,102,584,80,706350000,2435.68
2047,56180000,65640000,95300000,115370000,6140000,40370000,112280000,84660000,46,445,150,601,509,110,627,87,575940000,2574.62
2048,52440000,48070000,83720000,79570000,3370000,30270000,80030000,77960000,49,467,160,630,512,117,667,93,455430000,2695.38
2049,48880000,32400000,72590000,46200000,1410000,21040000,51720000,71700000,53,486,169,655,512,124,703,100,345930000,2800.23
2050,45520000,18720000,62010000,21230000,280000,12870000,27440000,65890000,56,502,177,675,510,130,734,105,253960000,2888.87